region,n_heldout_ENSO_months,pooled_event_OOF_R2_M1,pooled_event_OOF_R2_M3,delta_pooled_event_OOF_R2_M3_minus_M1,pooled_event_RMSE_M1,pooled_event_RMSE_M3,delta_pooled_event_RMSE_M3_minus_M1,pooled_event_MAE_M1,pooled_event_MAE_M3,delta_pooled_event_MAE_M3_minus_M1,pooled_event_Pearson_r_M1,pooled_event_Pearson_r_M3,fraction_events_M3_better_RMSE,fraction_events_M3_better_MAE
WP,139,-0.06428446224892848,0.6138834341818342,0.6781678964307627,1.8491322044156862,1.113777188660661,-0.735355015755025,1.4760868310081663,0.8859138251228386,-0.5901730058853277,0.025963403429540267,0.7863890949844945,0.8,0.85
CP,139,0.09714923356184413,0.5539141188691383,0.4567648853072942,1.3394199447456203,0.9414949934218263,-0.397924951323794,1.059125199876215,0.7292348060539051,-0.3298903938223099,0.3740438740967604,0.752144761347487,0.9,0.9
EP,139,0.8465625443159781,0.8700013635592989,0.023438819243320808,1.0202763908662231,0.9391209772459255,-0.08115541362029766,0.8408082505708883,0.7467911909037427,-0.09401705966714557,0.9201637281543242,0.9330635083186858,0.7,0.85
