region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48
TP,1,1000-800,0.02-1.27,low cloud,0.04554909562372484,-0.4364267894744249,-0.04953412982972834,-0.4859609193041533,-9.581458940034505,-1.0874887668225808,-10.668947706857088,-9.564795629457228,-1.1431838795235212,-10.707979508980749,0.03903180212366131,248,True,True
TP,2,1000-800,1.27-3.55,low cloud,0.0784372204646809,-2.665263899773938,0.169691089399108,-2.49557281037483,-33.97958117312515,2.163400084727854,-31.816181088397297,-33.929682751094866,2.1386309718016965,-31.791051779293177,-0.025129309104119812,248,True,True
TP,3,1000-800,3.55-9.38,low cloud,0.04959865640646191,-3.6402163547705824,0.26120881840068577,-3.3790075363698957,-73.39344688974923,5.2664494832294375,-68.12699740651976,-72.94901282533422,5.113868744444497,-67.83514408088972,-0.2918533256300435,248,True,True
TP,4,1000-800,9.38-22.63,low cloud,0.012978547507956828,-1.562915319348969,0.0856140584271668,-1.4773012609218026,-120.4229763300388,6.59658242763136,-113.82639390240746,-120.42356681149586,6.961031159706929,-113.46253565178893,-0.3638582506185344,248,True,True
TP,5,1000-800,22.63-60.36,low cloud,0.0009184433223285451,-0.14642755640115812,0.0031209795061476276,-0.14330657689501053,-159.43014973413693,3.398118784548354,-156.0320309495886,-161.21158074989012,5.136661836334206,-156.07491891355593,0.04288796396733119,248,True,True
TP,6,1000-800,60.36-378.65,low cloud,2.083289445385386e-06,-0.00044240852116434327,-8.142503868368246e-07,-0.0004432227715511801,-212.36056379218223,-0.39084841937851655,-212.75141221156076,-209.96569784324873,2.1629721266543256,-207.8027257165944,-4.948686494966353,223,True,True
TP,7,800-680,0.02-1.27,low cloud,0.012083135884045628,-0.14805855434736806,0.09157315700129033,-0.05648539734607774,-12.253321966101707,7.578592004597251,-4.674729961504457,-12.250673706665204,7.629667002355613,-4.62100670430959,-0.053723257194866925,248,True,True
TP,8,800-680,1.27-3.55,low cloud,0.03396858083483834,-1.2665028100794746,0.4376260640508302,-0.8288767460286448,-37.28453703254341,12.883260156750463,-24.401276875792963,-37.30725601762449,12.911509492125225,-24.39574652549926,-0.005530350293703634,248,True,True
TP,9,800-680,3.55-9.38,low cloud,0.029606886695544937,-2.249210115591903,0.4046776437577702,-1.8445324718341327,-75.9691533500667,13.6683619564317,-62.300791393635,-75.95614348471074,13.684847087558659,-62.27129639715208,-0.029494996482924307,248,True,True
TP,10,800-680,9.38-22.63,low cloud,0.009457173209933079,-1.1194870986487753,0.13265627908785452,-0.9868308195609208,-118.37438881556628,14.027053977241602,-104.34733483832468,-118.4785520406585,14.093239315554163,-104.38531272510434,0.03797788677965741,248,True,True
TP,11,800-680,22.63-60.36,low cloud,0.0007561168897453004,-0.11791044092103956,0.009920686400160524,-0.10798975452087904,-155.94208054360212,13.12057240713447,-142.82150813646766,-156.7510293030044,13.455378358342232,-143.29565094466219,0.4741428081945287,248,True,True
TP,12,800-680,60.36-378.65,low cloud,3.844174981856981e-06,-0.0007796644628819101,5.5477904635428075e-05,-0.0007241865582464821,-202.8171107094825,14.431680372840033,-188.38543033664246,-206.07314610688616,14.741974262975237,-191.3311718439109,2.945741507268451,248,True,True
TP,13,680-560,0.02-1.27,mid-level cloud,0.013999604631050972,-0.1874418372356022,0.20068052103362866,0.013238683798026453,-13.389080775885501,14.334727752848206,0.9456469769627062,-13.398496955227412,14.367945729422834,0.9694487741954236,-0.02380179723271747,248,True,True
TP,14,680-560,1.27-3.55,mid-level cloud,0.019691956261274086,-0.7567177127660996,0.5350328874855949,-0.22168482528050473,-38.427757137275876,27.170123698567355,-11.257633438708519,-38.47415562904385,27.162606319979,-11.311549309064844,0.05391587035632561,248,True,True
TP,15,680-560,3.55-9.38,mid-level cloud,0.01594108411893473,-1.2171434392555336,0.5117638704149206,-0.705379568840613,-76.35261379806768,32.10345460802445,-44.24915919004324,-76.28277932615796,32.1107128892423,-44.172066436915664,-0.07709275312757313,248,True,True
TP,16,680-560,9.38-22.63,mid-level cloud,0.0061414050379501855,-0.7528329460087752,0.18679623075683272,-0.5660367152519424,-122.5831778488344,30.415878712207462,-92.16729913662694,-122.45176219501558,30.452392658048698,-91.99936953696687,-0.16792959966007004,248,True,True
TP,17,680-560,22.63-60.36,mid-level cloud,0.0009741645826980086,-0.15809370082818872,0.02744246514254328,-0.13065123568564546,-162.28643869431028,28.170255447534018,-134.11618324677627,-162.461627656417,28.282649365577182,-134.17897829083984,0.06279504406356295,248,True,True
TP,18,680-560,60.36-378.65,mid-level cloud,1.4070120326768952e-05,-0.0030327979534140233,0.00038975324334063357,-0.00264304471007339,-215.5488285088797,27.70077542258916,-187.84805308629058,-217.92218455497607,27.897127182611484,-190.02505737236459,2.177004286074009,248,True,True
TP,19,560-440,0.02-1.27,mid-level cloud,0.007822397535594024,-0.07707166230748473,0.14683088066935984,0.06975921836187508,-9.852690553859969,18.770572577172103,8.917882023312133,-9.797620266019917,18.623880981314848,8.82626071529493,0.09162130801720281,248,True,True
TP,20,560-440,1.27-3.55,mid-level cloud,0.00620799331810896,-0.2826135414013307,0.2823577837183165,-0.00025575768301423996,-45.52413749817286,45.482939373447415,-0.04119812472545432,-45.62595617091954,45.409784955358795,-0.2161712155607393,0.17497309083528498,248,True,True
TP,21,560-440,3.55-9.38,mid-level cloud,0.011178932532559175,-0.9464290384032422,0.5614181967290904,-0.3850108416741518,-84.66184366411753,50.22109178080583,-34.4407518833117,-84.63658067907785,50.252972048424965,-34.38360863065287,-0.05714325265882536,248,True,True
TP,22,560-440,9.38-22.63,mid-level cloud,0.005543274248940747,-0.7309946952724842,0.27486299751592036,-0.45613169775656376,-131.8705628559093,49.58495379665607,-82.2856090592532,-131.68411933405562,49.59776372712629,-82.08635560692933,-0.19925345232387315,248,True,True
TP,23,560-440,22.63-60.36,mid-level cloud,0.0011151223198555193,-0.1927812418556548,0.05328005306730401,-0.13950118878835077,-172.87900925580297,47.77955935292124,-125.0994499028817,-172.74493303573385,47.65373395658043,-125.09119907915341,-0.008250823728289447,248,True,True
TP,24,560-440,60.36-378.65,mid-level cloud,2.8543160303338472e-05,-0.0064754962606391395,0.0015673237568297215,-0.004908172503809418,-226.8668287541289,54.91065951258396,-171.95616924154498,-228.47513372976485,53.951569899782854,-174.52356382998204,2.567394588437054,248,True,True
TP,25,440-310,0.02-1.27,thin high cloud,0.03144154326840239,-0.5717498994378272,1.1635455948540516,0.5917956954162246,-18.184536762621796,37.00663116060758,18.822094397985794,-18.13568678762643,36.90082243164604,18.765135644019615,0.05695875396617822,248,True,True
