region,cloud_type,ctp_bin,tau_bin,physical_group,CF0,Q0_SW,Q0_LW,Q0_Net,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,CRE0_SW_monthlymean,CRE0_LW_monthlymean,CRE0_Net_monthlymean,difference_ratio_minus_monthlymean_Net,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48
WP,1,1000-800,0.02-1.27,low cloud,0.02156300139952565,-0.17740853042573085,-0.08149721889257255,-0.2589057493183034,-8.22745067528649,-3.779493280298417,-12.006943955584907,-8.187827510818687,-3.846315881885016,-12.034143392703703,0.0271994371187958,248,True,True
WP,2,1000-800,1.27-3.55,low cloud,0.03414604506986544,-1.0188771171477873,-0.03483021721805563,-1.0537073343658432,-29.838803148742006,-1.0200366439741506,-30.858839792716164,-29.884173367076837,-1.1816457468633699,-31.06581911394021,0.20697932122404694,248,True,True
WP,3,1000-800,3.55-9.38,low cloud,0.011448993505778231,-0.7392671010978112,0.004392563973482304,-0.7348745371243288,-64.57048829005869,0.38366376671149355,-64.18682452334718,-65.08033027438745,-0.21003174784626555,-65.29036202223371,1.1035374988865243,248,True,True
WP,4,1000-800,9.38-22.63,low cloud,0.001125512231878009,-0.10998502668840612,0.0037081261608189866,-0.10627690052758713,-97.71997457982943,3.2946120493347957,-94.42536253049464,-103.08976925011329,2.5188019873433336,-100.57096726276995,6.1456047322753165,248,True,True
WP,5,1000-800,22.63-60.36,low cloud,5.978563903386322e-05,-0.007847155387754724,0.00031047803081621237,-0.007536677356938511,-131.25485508836013,5.193187458284996,-126.06166763007514,-142.38458221858886,4.539614097281954,-137.84496812130692,11.783300491231785,243,True,True
WP,6,1000-800,60.36-378.65,low cloud,2.1629782985168206e-07,-3.690730821931683e-05,2.0844656674578986e-06,-3.482284255185893e-05,-170.6318932770828,9.637016094369699,-160.9948771827131,-196.97805556226663,6.781580907741548,-190.19647465452505,29.201597471811937,49,True,True
WP,7,800-680,0.02-1.27,low cloud,0.013236549068465941,-0.16852579716535027,0.07290088652606007,-0.09562491063929021,-12.731853014985399,5.507544764800918,-7.224308250184481,-12.742300541444937,5.515835765722824,-7.226464775722115,0.002156525537634124,248,True,True
WP,8,800-680,1.27-3.55,low cloud,0.033976280533058616,-1.2242911232541667,0.36360158968489015,-0.8606895335692765,-36.033700689012804,10.701630195545068,-25.33207049346774,-36.0250987123768,10.709581810068585,-25.315516902308225,-0.01655359115951427,248,True,True
WP,9,800-680,3.55-9.38,low cloud,0.021890303657732094,-1.580669531934395,0.24308558862835625,-1.3375839433060384,-72.20866172754396,11.104715239639608,-61.10394648790433,-72.32172898672782,11.057075319073473,-61.26465366765433,0.16070717974999837,248,True,True
WP,10,800-680,9.38-22.63,low cloud,0.005613082862045174,-0.6041010220498425,0.06743700477611533,-0.5366640172737271,-107.6237491761761,12.01425427586581,-95.60949490031028,-109.63371694434899,11.709415578707903,-97.92430136564109,2.314806465330804,248,True,True
WP,11,800-680,22.63-60.36,low cloud,0.0004709432469560294,-0.06707173787746334,0.006364461439614502,-0.06070727643784884,-142.4200013716847,13.514285385238221,-128.90571598644647,-147.02559049311287,13.589949107306445,-133.4356413858064,4.529925399359939,248,True,True
WP,12,800-680,60.36-378.65,low cloud,3.141663255709167e-06,-0.0005811121336537138,5.863682512194812e-05,-0.0005224753085317656,-184.96958023673974,18.664261682212672,-166.30531855452705,-206.64668547749187,15.613753934079307,-191.03293154341256,24.72761298888551,241,True,True
WP,13,680-560,0.02-1.27,mid-level cloud,0.02025169586161898,-0.2923839454407847,0.2576672896259537,-0.03471665581483102,-14.437504268218389,12.723245074714203,-1.7142591935041862,-14.393787308286893,12.754992308588617,-1.6387949996982756,-0.07546419380591063,248,True,True
WP,14,680-560,1.27-3.55,mid-level cloud,0.028104782200225078,-1.0718310229128216,0.6891152174625229,-0.3827158054502987,-38.136962431405635,24.5195003666317,-13.617462064773934,-38.17248633144358,24.569622048749014,-13.602864282694561,-0.014597782079372124,248,True,True
WP,15,680-560,3.55-9.38,mid-level cloud,0.01882615519757866,-1.3696681026715456,0.5504824844704677,-0.8191856182010778,-72.75346921859577,29.240303115171834,-43.51316610342393,-72.77136049874827,29.293909358748458,-43.477451139999786,-0.03571496342414093,248,True,True
WP,16,680-560,9.38-22.63,mid-level cloud,0.005394867907094514,-0.6123135365727264,0.1509715491255563,-0.46134198744717,-113.49926395185769,27.984290204218226,-85.51497374763944,-114.23778046306435,27.953507311601037,-86.28427315146332,0.7692994038238794,248,True,True
WP,17,680-560,22.63-60.36,mid-level cloud,0.000689940563014506,-0.10613416401308912,0.01926095507169815,-0.08687320894139094,-153.83088008243058,27.91683241168296,-125.91404767074759,-156.02962238906747,27.770249911683802,-128.25937247738366,2.3453248066360715,248,True,True
WP,18,680-560,60.36-378.65,mid-level cloud,1.358500722599569e-05,-0.0029082052627056134,0.00040319586202438077,-0.0025050094006812324,-214.074620228438,29.679473504647266,-184.3951467237907,-218.5081872047783,28.923619287479053,-189.58456791729927,5.189421193508565,248,True,True
WP,19,560-440,0.02-1.27,mid-level cloud,0.012942010567452087,-0.13865171354620193,0.2269328250568095,0.08828111151060762,-10.713305542718198,17.53458814409592,6.821282601377728,-10.612481989659408,17.43335034619469,6.820868356535284,0.00041424484244423354,248,True,True
WP,20,560-440,1.27-3.55,mid-level cloud,0.010166581701389853,-0.4500189864913366,0.4278346558513348,-0.02218433064000184,-44.26453253504227,42.082448989993004,-2.182083545049273,-44.42270165421238,42.22631999862839,-2.1963816555839824,0.01429811053470953,248,True,True
WP,21,560-440,3.55-9.38,mid-level cloud,0.016193691843450424,-1.2961233123012055,0.7673259172806253,-0.5287973950205801,-80.03877836081125,47.38424842825276,-32.65452993255849,-80.24425648646412,47.637533561221424,-32.60672292524269,-0.04780700731579657,248,True,True
WP,22,560-440,9.38-22.63,mid-level cloud,0.0058029115644322015,-0.7185177519096916,0.2729724197569149,-0.44554533215277675,-123.82021403078137,47.04059621208866,-76.77961781869273,-124.57662558851838,47.26004852259104,-77.31657706592736,0.5369592472346341,248,True,True
