region,n_heldout_ENSO_months,pooled_event_OOF_R2_M1,pooled_event_OOF_R2_M3,delta_pooled_event_OOF_R2_M3_minus_M1,pooled_event_RMSE_M1,pooled_event_RMSE_M3,delta_pooled_event_RMSE_M3_minus_M1,pooled_event_MAE_M1,pooled_event_MAE_M3,delta_pooled_event_MAE_M3_minus_M1,pooled_event_Pearson_r_M1,pooled_event_Pearson_r_M3,fraction_events_M3_better_RMSE,fraction_events_M3_better_MAE
WP,155,-0.040969602091061486,0.5873180028843681,0.6282876049754296,1.8548301613606204,1.167865656530039,-0.6869645048305815,1.480315241059044,0.9227368524954056,-0.5575783885636385,0.05318647679785163,0.7693200530689944,0.7916666666666666,0.8333333333333334
CP,155,0.1483049799526559,0.5862394018651855,0.4379344219125296,1.3488004614305524,0.9401133446587977,-0.40868711677175473,1.0656246352784373,0.7333763720879877,-0.33224826319044964,0.4114034061285579,0.7696169050389854,0.8333333333333334,0.8333333333333334
EP,155,0.8397544415080723,0.8675344228823558,0.027779981374283502,1.000758281404395,0.9098875237118983,-0.09087075769249664,0.8256603241571636,0.7166710995489888,-0.10898922460817484,0.9164226925559195,0.9316692274822675,0.75,0.875
