month,region,phase_index,HCCF_anom,HCTB_anom,LCSP_anom,Direct_Net_anom_formal,direct_source_verified,metric_source_verified
2007-07-01,CP,-1,-0.0345802495,-0.0105722541,-0.0058327871,0.7137723047,True,True
2007-08-01,CP,-1,0.0056834557,-0.0036057484,-0.0042579076,1.4391238975,True,True
2007-09-01,CP,-1,-0.0339745796,0.0035310881,-0.0213165314,0.2050896205,True,True
2007-10-01,CP,-1,-0.0364625440,0.0114918484,-0.0169602650,0.3105113580,True,True
2007-11-01,CP,-1,-0.0106729496,-0.0081770793,-0.0323965678,-2.2875127440,True,True
2007-12-01,CP,-1,-0.0962338586,0.0246650151,-0.0496486231,-1.7190268424,True,True
2008-01-01,CP,-1,0.0173822781,-0.0004047743,-0.0082875383,-2.6405648567,True,True
2008-02-01,CP,-1,-0.1849417471,0.0082250616,-0.0767337119,-0.5843604235,True,True
2008-03-01,CP,-1,-0.1146603233,-0.0078918957,-0.0427117088,2.4582615808,True,True
2008-04-01,CP,-1,-0.0602548311,-0.0088566444,-0.0272312964,0.5233735380,True,True
2008-05-01,CP,-1,-0.0713110649,0.0105996414,-0.0280839227,0.2148851684,True,True
2008-06-01,CP,-1,-0.0480103401,0.0223865724,-0.0234888646,-1.7229325675,True,True
2008-07-01,CP,0,-0.0704709998,0.0076647594,-0.0324573212,0.7480246287,True,True
2008-08-01,CP,0,-0.0510060374,0.0134625904,-0.0305091357,0.5152008890,True,True
2008-09-01,CP,0,-0.0416355417,-0.0002935207,-0.0312018567,-0.0261345871,True,True
2008-10-01,CP,0,-0.0592187750,0.0128581149,-0.0341609878,0.1036667177,True,True
2008-11-01,CP,-1,-0.0648427220,0.0204931834,-0.0288875712,-0.8900435299,True,True
2008-12-01,CP,-1,-0.1001303886,-0.0055641936,-0.0481219948,-0.1215247572,True,True
2009-01-01,CP,-1,-0.0742837913,0.0089630476,-0.0369959099,-1.3025771246,True,True
2009-02-01,CP,-1,-0.0930990391,0.0269709698,-0.0364736544,-2.3611141533,True,True
2009-03-01,CP,-1,-0.0038891174,-0.0149699022,0.0109633352,0.4674383525,True,True
2009-04-01,CP,0,-0.0191541482,0.0100895546,-0.0180077032,-0.0720679834,True,True
2009-05-01,CP,0,-0.0221617834,-0.0092741015,0.0074105676,1.7750257847,True,True
2009-06-01,CP,0,0.0014840273,-0.0261747940,0.0231831855,2.2065645797,True,True
2009-07-01,CP,1,0.0679069002,-0.0205543422,0.0135168266,-0.0176060368,True,True
2009-08-01,CP,1,-0.0032769946,0.0098333992,0.0189941132,-0.6743351201,True,True
2009-09-01,CP,1,0.0640151230,0.0063332776,0.0089028706,-1.2594949381,True,True
2009-10-01,CP,1,0.0434614884,-0.0154250159,0.0260202450,-0.0331251160,True,True
2009-11-01,CP,1,0.0672525199,-0.0012547703,0.0263452812,0.4768712658,True,True
2009-12-01,CP,1,0.1549563426,-0.0454460406,0.0599000733,3.0424854852,True,True
2010-01-01,CP,1,0.1525051738,0.0138779302,0.0582634135,0.2488713198,True,True
2010-02-01,CP,1,0.1801582852,0.0551339366,0.0535989613,-1.5460458993,True,True
2010-03-01,CP,1,0.0741387931,0.0224994759,-0.0005617737,-2.3098344295,True,True
2010-04-01,CP,0,-0.0181945419,-0.0040763655,-0.0129187628,-1.1730039972,True,True
2010-05-01,CP,0,-0.0543885338,0.0128176733,-0.0361081508,-1.7303148211,True,True
2010-06-01,CP,-1,-0.0476809814,0.0116593856,-0.0337908155,-1.6429415179,True,True
2010-07-01,CP,-1,-0.0429898520,0.0037507741,-0.0401352852,-0.8908786373,True,True
2010-08-01,CP,-1,-0.0595758998,0.0086671820,-0.0457886471,-0.9538409669,True,True
2010-09-01,CP,-1,-0.0929998852,0.0356989648,-0.0519223541,-2.5634998149,True,True
2010-10-01,CP,-1,-0.0767075062,0.0229967074,-0.0468780615,-1.8602248971,True,True
2010-11-01,CP,-1,-0.1182332571,0.0064254904,-0.0589788981,-0.9133170665,True,True
2010-12-01,CP,-1,-0.1473076470,0.0319848560,-0.0574852923,-1.2443842656,True,True
2011-01-01,CP,-1,-0.1334951158,0.0310311671,-0.0450053278,-2.1861781380,True,True
2011-02-01,CP,-1,-0.1589591070,0.0031171382,-0.0419847523,0.6472721815,True,True
2011-03-01,CP,-1,-0.1387391631,0.0130803699,-0.0450811814,0.0107572881,True,True
2011-04-01,CP,-1,-0.1103515371,-0.0114045332,-0.0291646563,1.3873618472,True,True
