region,comparison,deterministic_delta_pooled_event_OOF_R2,delta_pooled_event_OOF_R2_ci_low_95,delta_pooled_event_OOF_R2_ci_high_95,probability_delta_pooled_event_OOF_R2_gt_0,deterministic_delta_pooled_event_RMSE,delta_pooled_event_RMSE_ci_low_95,delta_pooled_event_RMSE_ci_high_95,probability_delta_pooled_event_RMSE_lt_0,deterministic_delta_pooled_event_MAE,delta_pooled_event_MAE_ci_low_95,delta_pooled_event_MAE_ci_high_95,probability_delta_pooled_event_MAE_lt_0,bootstrap_unit,stratified_by_phase,shared_event_sample_across_regions_and_models
WP,M3_minus_M1,0.6282876049754296,0.4516457760481125,0.7923690849740636,1.0,-0.6869645048305815,-0.887310633747066,-0.42917223859642306,1.0,-0.5575783885636385,-0.742555157780773,-0.3432004268808038,1.0,ENSO event cluster,True,True
CP,M3_minus_M1,0.4379344219125296,0.29599572676635627,0.5967186080723641,1.0,-0.40868711677175473,-0.5380983279421523,-0.2799090333467108,1.0,-0.33224826319044964,-0.44534302959324,-0.23594414327527724,1.0,ENSO event cluster,True,True
EP,M3_minus_M1,0.027779981374283502,0.003557939549369288,0.057831348465935274,0.99,-0.09087075769249664,-0.17175968566684646,-0.010261982783446472,0.99,-0.10898922460817484,-0.17550347037548325,-0.03693555827510319,1.0,ENSO event cluster,True,True
