region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_SW_ratio,CRE0_LW_ratio,CRE0_Net_ratio,AmountSW_candidate,AmountLW_candidate,AmountNet_candidate,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,SW_LW_Net_closure_residual
TP,1,1000-800,0.02-1.27,low cloud,-0.007771424121428498,-9.581458940034503,-1.0874887668225808,-10.668947706857088,0.07446158112506086,0.008451336434267535,0.08291291755932843,248,True,True,4.163336342344337e-17
TP,2,1000-800,1.27-3.55,low cloud,-0.008558897350631464,-33.97958117312515,2.163400084727854,-31.816181088397297,0.2908277472782276,-0.018516319253533114,0.2723114280246945,248,True,True,5.551115123125783e-17
TP,3,1000-800,3.55-9.38,low cloud,-0.0033021400246617885,-73.39344688974923,5.2664494832294375,-68.12699740651976,0.2423554385225302,-0.01739055362643132,0.22496488489609878,248,True,True,-8.326672684688674e-17
TP,4,1000-800,9.38-22.63,low cloud,-0.0006229902089199199,-120.4229763300388,6.59658242763136,-113.82639390240746,0.07502233518260944,-0.004109606264747534,0.07091272891786192,248,True,True,1.3877787807814457e-17
TP,5,1000-800,22.63-60.36,low cloud,-0.0002627189332639116,-159.43014973413693,3.398118784548354,-156.0320309495886,0.04188531886825815,-0.0008927501421806033,0.04099256872607755,248,True,True,6.938893903907228e-18
TP,6,1000-800,60.36-378.65,low cloud,-1.4409939482321731e-06,-212.36056379218223,-0.3908484193785165,-212.75141221156076,0.00030601028726770697,5.632102070005527e-07,0.0003065734974747075,223,True,True,0.0
TP,7,800-680,0.02-1.27,low cloud,0.0011022067602997985,-12.253321966101709,7.578592004597251,-4.674729961504457,-0.013505694307167321,0.00835317534102109,-0.005152518966146229,248,True,True,1.734723475976807e-18
TP,8,800-680,1.27-3.55,low cloud,0.0021911325699876597,-37.28453703254341,12.883260156750463,-24.401276875792963,-0.08169536344891691,0.02822893093708026,-0.053466432511836685,248,True,True,-3.469446951953614e-17
TP,9,800-680,3.55-9.38,low cloud,-0.00044472616276775706,-75.9691533500667,13.6683619564317,-62.300791393635,0.03378547005809046,-0.006078678164204663,0.027706791893885797,248,True,True,-3.469446951953614e-18
TP,10,800-680,9.38-22.63,low cloud,-0.001279462427150697,-118.37438881556628,14.027053977241602,-104.34733483832468,0.15145558282644475,-0.017947088527495377,0.1335084942989494,248,True,True,2.7755575615628914e-17
TP,11,800-680,22.63-60.36,low cloud,-0.00014161947645905195,-155.94208054360212,13.12057240713447,-142.82150813646766,0.022084435804520245,-0.0018581285951414666,0.020226307209378777,248,True,True,0.0
TP,12,800-680,60.36-378.65,low cloud,9.030915087730704e-07,-202.8171107094825,14.431680372840033,-188.3854303366425,-0.00018316241051562142,1.3033128002038812e-05,-0.0001701292825135826,248,True,True,0.0
TP,13,680-560,0.02-1.27,mid-level cloud,0.0017477895127315912,-13.3890807758855,14.334727752848206,0.9456469769627062,-0.023401294965208833,0.025054086834290584,0.0016527918690817504,248,True,True,-1.3010426069826053e-18
