region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_Net_ratio,AmountNet_candidate,ci_low_95,ci_high_95,significant,sign_stability_probability,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,plot_dot,plot_hatch,support,term
TP,28,440-310,9.38-22.63,thick anvil cloud,0.00023812123382932135,-71.29692332326987,-0.01697731134997154,-0.04948335402796489,0.01915640465562796,False,0.7515,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
TP,29,440-310,22.63-60.36,deep convective cloud,-8.205432926151933e-05,-107.9721899039982,0.008859585621469962,-0.01755900752660868,0.0364789258370676,False,0.7645,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
TP,30,440-310,60.36-378.65,deep convective cloud,-1.258209581065338e-05,-142.94338199271056,0.0017985273277311092,-0.0013508846417609156,0.0050219872549135125,False,0.857,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
TP,31,310-180,0.02-1.27,thin high cloud,0.005511615707108057,14.658059694709335,0.0807895920490875,0.04233420162672367,0.14474160695590804,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,32,310-180,1.27-3.55,thin high cloud,0.0061835136413163835,17.646526390471767,0.10911753665733173,0.062212795553981785,0.16455742420057992,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,33,310-180,3.55-9.38,thick anvil cloud,0.005288873274329663,-6.394511585718038,-0.03381976142809552,-0.04762611747993081,-0.02068121970994404,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,34,310-180,9.38-22.63,thick anvil cloud,0.0031515092210380076,-44.38491953094345,-0.13987948317679824,-0.19194362197480735,-0.07969105620856963,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,35,310-180,22.63-60.36,deep convective cloud,0.0013764511965495482,-75.90078483582586,-0.10447372610632231,-0.1326876963615724,-0.05183617336988547,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,36,310-180,60.36-378.65,deep convective cloud,3.104373648118346e-05,-99.89556293906112,-0.0031011315315196903,-0.02141113564242575,0.02213864112801967,False,0.4335,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
TP,37,180-10,0.02-1.27,thin high cloud,0.002069697366869412,7.370645343691535,0.015255005259966663,0.003852538784987161,0.026032716482004923,True,0.996,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,38,180-10,1.27-3.55,thin high cloud,0.0005075925164490791,38.53289813202953,0.01955901072891289,0.005626250262243128,0.03488400624430042,True,0.996,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,39,180-10,3.55-9.38,thick anvil cloud,0.0004179019214588704,22.68055870027611,0.009478249060606085,0.0019832001548459443,0.017286254069374556,True,0.992,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,40,180-10,9.38-22.63,thick anvil cloud,0.0009045192465917322,-28.12938574610431,-0.02544357080215448,-0.040543786259990326,-0.011043030722023072,True,0.9995,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,41,180-10,22.63-60.36,deep convective cloud,0.0019305518546536065,-63.314889409617535,-0.12223267717692513,-0.17927678543838943,-0.06485924467663931,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
TP,42,180-10,60.36-378.65,deep convective cloud,0.002298250395723949,-86.59541749238443,-0.1990179525197531,-0.25141202392154727,-0.13209031563108756,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,1,1000-800,0.02-1.27,low cloud,0.0055254678298170545,-12.006943955584909,-0.06634398256100074,-0.09316800052203186,-0.03881471565533151,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,2,1000-800,1.27-3.55,low cloud,0.010066097497479325,-30.858839792716164,-0.3106280900125756,-0.4353112648957283,-0.19482303504079335,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,3,1000-800,3.55-9.38,low cloud,0.003532595526533665,-64.18682452334718,-0.2267460891735776,-0.35648810227339617,-0.08825969574277122,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,4,1000-800,9.38-22.63,low cloud,3.3005320654568666e-05,-94.42536253049464,-0.0031165393682428687,-0.03578883937301627,0.041469056511079495,False,0.4745,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,5,1000-800,22.63-60.36,low cloud,-1.35092867464311e-05,-126.06166763007514,0.0017030032157479764,-0.0012858994809252498,0.005057508467571262,False,0.874,243,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,6,1000-800,60.36-378.65,low cloud,-1.2453603628422915e-07,-160.9948771827131,2.0049663866401376e-05,-8.931340711088177e-06,4.7512723043165964e-05,False,0.7575,49,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,7,800-680,0.02-1.27,low cloud,0.0010608169598960767,-7.224308250184481,-0.0076636687153128465,-0.01142742595864674,-0.0037847607244054695,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,8,800-680,1.27-3.55,low cloud,0.003287122232712207,-25.33207049346774,-0.08326961211971069,-0.12839368414046068,-0.049236385890383524,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,9,800-680,3.55-9.38,low cloud,0.006494383927746896,-61.10394648790433,-0.3968324879929523,-0.5321904842279741,-0.26495069351676576,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,10,800-680,9.38-22.63,low cloud,0.002450489938774855,-95.60949490031028,-0.23429010530455613,-0.31119709667676987,-0.11809088755762417,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,11,800-680,22.63-60.36,low cloud,0.00023801810076163612,-128.90571598644647,-0.030681893696412863,-0.04816139245601894,-0.0044938190281380045,True,0.9905,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,12,800-680,60.36-378.65,low cloud,1.5883011276855432e-06,-166.30531855452705,-0.0002641429250002588,-0.0005069760245696787,8.905315115101288e-06,False,0.969,241,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,13,680-560,0.02-1.27,mid-level cloud,-0.0024655320514653037,-1.7142591935041862,0.0042265609861036335,0.002342704330492078,0.005731391079852046,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,14,680-560,1.27-3.55,mid-level cloud,-0.003830603207991206,-13.617462064773934,0.05216309387002158,0.03370885292628948,0.07365209109689506,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
WP,15,680-560,3.55-9.38,mid-level cloud,-7.54880780176638e-05,-43.51316610342393,0.0032847252776108293,-0.04560492075577067,0.05945983346979135,False,0.574,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
WP,16,680-560,9.38-22.63,mid-level cloud,0.001089931158683331,-85.51497374763944,-0.0932054344215393,-0.1261655744410213,-0.039187243675389005,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
