region,cloud_type,ctp_bin,tau_bin,physical_group,DeltaCF_paired,CRE0_Net_ratio,AmountNet_candidate,ci_low_95,ci_high_95,significant,sign_stability_probability,valid_n_kernel,display_valid_n_ge_24,sensitivity_valid_n_ge_48,plot_dot,plot_hatch,support,term
CP,28,440-310,9.38-22.63,thick anvil cloud,0.000687413641209,-70.73763817422194,-0.0486260174278714,-0.1052566185412244,0.0182634757779554,False,0.914,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
CP,29,440-310,22.63-60.36,deep convective cloud,-0.0005023781389139,-106.79152051188008,0.0536497253265505,0.0182594254591702,0.0919142450223297,True,0.998,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,30,440-310,60.36-378.65,deep convective cloud,-6.21694222406552e-05,-142.1593708702673,0.0088379659530995,0.0046482440999017,0.0127092924140776,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,31,310-180,0.02-1.27,thin high cloud,0.0188772584081409,15.713087989114698,0.2966200223603732,0.2266034899844145,0.3801581145649063,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,32,310-180,1.27-3.55,thin high cloud,0.0249210220806511,19.634904764917454,0.4893218951979912,0.3874904533507231,0.6011129650980773,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,33,310-180,3.55-9.38,thick anvil cloud,0.0234105366733415,-4.782814015753025,-0.111968242917558,-0.1358501416623503,-0.0869065501212437,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,34,310-180,9.38-22.63,thick anvil cloud,0.0137865975008368,-43.24560707726022,-0.5962097784535281,-0.7205478564399603,-0.4542023612058658,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,35,310-180,22.63-60.36,deep convective cloud,0.0051865561061938,-74.3409439241407,-0.3855734766499658,-0.4644801859715642,-0.2725368385252388,True,1.0,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
CP,36,310-180,60.36-378.65,deep convective cloud,0.0002046470048598,-97.89697168524442,-0.0200343220402375,-0.0443310883213203,0.0111259679307892,False,0.8625,248,True,True,False,False,paired_valid_candidate_degC05,Occurrence_Net
CP,37,180-10,0.02-1.27,thin high cloud,0.0036933171180484,7.974184051660132,0.0294511904604654,0.0026432718652006,0.052949084465866,True,0.9835,248,True,True,True,False,paired_valid_candidate_degC05,Occurrence_Net
