region,delta_occurrence_sum42,delta_conditional_cre_sum42,delta_interaction_sum42,delta_adjustment_sum42,delta_total_sum42,n_cells_display_valid,total_ci_low_95,total_ci_high_95,total_significant,adjustment_ci_low_95,adjustment_ci_high_95,adjustment_significant
WP,-0.2531580975396702,0.647830549503887,-0.09350184397506062,0.5543287055288263,0.30117060798915674,42,-0.5583970887582447,1.44577922565197,False,0.05921669625943139,1.126618135947767,True
CP,0.8491344876320919,0.28827647507551485,-0.10860952824374909,0.17966694683176582,1.028801434463857,41,0.1578031459349941,1.9155546943332027,True,-0.28515415785443204,0.6347614178336762,False
EP,0.7279206089426542,0.0973120283092841,0.07940315931597088,0.17671518762525493,0.9046357965679115,42,-1.847699533007115,3.843425151169773,False,-0.2958551953627818,0.6480212862243367,False
