panel,plot_type,region,physical_group,x_label,occurrence,conditional_cre,interaction,cre_adjustment,total_pathway,total_ci_low_95,total_ci_high_95,total_significant,adjustment_ci_low_95,adjustment_ci_high_95,adjustment_significant,direct_estimate,direct_ci_low_95,direct_ci_high_95,direct_significant,n_cells_display_valid
Western Pacific,group_occurrence_adjustment_total,WP,low cloud,Low,-1.3581135589897277,0.02055387582220085,-0.034518866059000876,-0.013964990236799993,-1.3720785492265284,-1.8529874501074965,-0.8945149721170668,True,-0.12665723378282256,0.10305474013412157,False,,,,,12.0
Western Pacific,group_occurrence_adjustment_total,WP,mid-level cloud,Mid-level,0.01357495160935493,0.06150288267032806,-0.019718162947320473,0.041784719723007596,0.055359671332361415,-0.1932064316444228,0.3247792692819167,False,-0.06497055581223048,0.1342325907383814,False,,,,,12.0
Western Pacific,group_occurrence_adjustment_total,WP,thin high cloud,Thin high,-0.7005977849083016,0.2573188633660018,-0.038448913721537165,0.21886994964446463,-0.4817278352638348,-0.8136588810635873,-0.002654035669597079,True,0.10646838106019452,0.3654943107047011,True,,,,,6.0
Western Pacific,group_occurrence_adjustment_total,WP,thick anvil cloud,Thick anvil,0.873824986274996,0.22146296175071573,-0.002349985007952228,0.21911297674276348,1.0929379630177598,0.7085775652124339,1.4677844706615493,True,0.03104897542872284,0.4604098635045412,True,,,,,6.0
Western Pacific,group_occurrence_adjustment_total,WP,deep convective cloud,"Deep
 convective",0.9181533084740081,0.0869919658946405,0.0015340837607501212,0.08852604965539064,1.0066793581293987,0.668957327025241,1.4053169302816089,True,-0.03665648751976805,0.2525478793981326,False,,,,,6.0
Central Pacific,group_occurrence_adjustment_total,CP,low cloud,Low,1.919800256850023,-0.10553499523639456,0.02040275862540649,-0.08513223661098807,1.8346680202390333,1.4856680080006788,2.055740232466585,True,-0.1882599647887257,0.04190994603123005,False,,,,,11.0
Central Pacific,group_occurrence_adjustment_total,CP,mid-level cloud,Mid-level,-0.04477580202674267,-0.01083381741307949,0.011378355714164432,0.0005445383010849528,-0.04423126372565811,-0.21200077533261594,0.18108601450486214,False,-0.058262048258230933,0.0622711552700949,False,,,,,12.0
Central Pacific,group_occurrence_adjustment_total,CP,thin high cloud,Thin high,1.3284124459434494,0.09905718616401668,-0.008625961923420527,0.09043122424059614,1.418843670184046,1.1256220049232184,1.7080576858168568,True,0.02814038359851113,0.17887449360940097,True,,,,,6.0
Central Pacific,group_occurrence_adjustment_total,CP,thick anvil cloud,Thick anvil,-0.9217715929109034,0.19859396364924542,-0.07029371724065496,0.12830024640859047,-0.7934713465023115,-1.1625643471411622,-0.41145947881205164,True,-0.05612797978819669,0.2841557373028697,False,,,,,6.0
Central Pacific,group_occurrence_adjustment_total,CP,deep convective cloud,"Deep
 convective",-1.4325308202237346,0.1069941379117268,-0.06147096341924453,0.04552317449248229,-1.3870076457312526,-1.8483107666225853,-0.8948365180977937,True,-0.13397886113806606,0.17632550110267034,False,,,,,6.0
Eastern Pacific,group_occurrence_adjustment_total,EP,low cloud,Low,1.2093941252721327,-0.1776963214850419,0.017998729179306783,-0.15969759230573516,1.0496965329664008,-1.6919705149521107,3.8256385192572986,False,-0.5687977587440994,0.23095049098784742,False,,,,,12.0
Eastern Pacific,group_occurrence_adjustment_total,EP,mid-level cloud,Mid-level,0.03211924258889015,0.09996789685010031,0.015374620302552922,0.11534251715265323,0.1474617597415433,-0.14084841250514002,0.4188544034188089,False,0.06746409318040972,0.17534924211972613,True,,,,,12.0
Eastern Pacific,group_occurrence_adjustment_total,EP,thin high cloud,Thin high,0.2961131451492107,0.07496271965651935,-0.00965985811300976,0.06530286154350957,0.3614160066927201,0.11977133224508785,0.6461603926447755,True,0.015993596936423198,0.12191242850836086,True,,,,,6.0
Eastern Pacific,group_occurrence_adjustment_total,EP,thick anvil cloud,Thick anvil,-0.33995242398197534,0.047977038265924074,0.02028385272018169,0.06826089098610577,-0.27169153299587,-0.5837733761398772,0.052245893894948575,False,-0.03046372040872133,0.1838281423666634,False,,,,,6.0
Eastern Pacific,group_occurrence_adjustment_total,EP,deep convective cloud,"Deep
 convective",-0.46975348008560414,0.05210069502178227,0.03540581522693924,0.08750651024872151,-0.38224696983688267,-0.6987771842480618,-0.06855608581597306,True,0.022915556321127066,0.1629673129414207,True,,,,,6.0
"(d) Regional occurrence, adjustment, and direct response",regional_occurrence_adjustment_total,WP,,WP,-0.2531580975396702,0.647830549503887,-0.09350184397506062,0.5543287055288263,0.30117060798915674,-0.5583970887582447,1.44577922565197,False,0.05921669625943139,1.126618135947767,True,,,,,42.0
"(d) Regional occurrence, adjustment, and direct response",regional_occurrence_adjustment_total,CP,,CP,0.8491344876320919,0.28827647507551485,-0.10860952824374909,0.17966694683176582,1.028801434463857,0.1578031459349941,1.9155546943332027,True,-0.28515415785443204,0.6347614178336762,False,,,,,41.0
"(d) Regional occurrence, adjustment, and direct response",regional_occurrence_adjustment_total,EP,,EP,0.7279206089426542,0.0973120283092841,0.07940315931597088,0.17671518762525493,0.9046357965679115,-1.847699533007115,3.843425151169773,False,-0.2958551953627818,0.6480212862243367,False,,,,,42.0
"(d) Regional occurrence, adjustment, and direct response",regional_direct_response,WP,,WP,,,,,,,,,,,,-0.1886095582,-0.9457184306,0.6624941872,False,
"(d) Regional occurrence, adjustment, and direct response",regional_direct_response,CP,,CP,,,,,,,,,,,,0.8906151909,0.4507440666,1.5345470121,True,
"(d) Regional occurrence, adjustment, and direct response",regional_direct_response,EP,,EP,,,,,,,,,,,,1.7718610803,0.3435272871,3.1505980001,True,
