region,cloud_group,delta_cf,ci_low,ci_high,significant_95,n_el_nino,n_la_nina
TP,low_cloud,-0.018916621026619396,-0.030549873362040705,-0.004202763541770619,True,54,85
TP,mid_level,0.006293215597906965,0.000823657857495904,0.009702631485061258,True,54,85
TP,thin_high,0.02080361731350422,0.011039116562089554,0.02983286720084431,True,54,85
TP,thick_anvil,0.010695993434637785,0.005328270065598185,0.015189509671468954,True,54,85
TP,deep_convective,0.005530465001356788,0.0034125330075210746,0.00692129173831146,True,54,85
WP,low_cloud,0.03438203423058184,0.017434957022072792,0.05018767977668352,True,54,85
WP,mid_level,-0.01371565735189506,-0.021498993081945583,-0.007144861167208076,True,54,85
WP,thin_high,-0.048813953530043364,-0.07055062528786872,-0.02036006444491457,True,54,85
WP,thick_anvil,-0.039567100116983056,-0.055860432977251975,-0.020715059962597947,True,54,85
WP,deep_convective,-0.013235764708952047,-0.019379917622999596,-0.00722021385642156,True,54,85
CP,low_cloud,-0.08619875369781882,-0.09507294757120281,-0.07110744033162192,True,54,85
CP,mid_level,0.021743258509104635,0.011320654935302977,0.02830461879164077,True,54,85
CP,thin_high,0.08673951658420265,0.06621685477813612,0.1011495458123714,True,54,85
CP,thick_anvil,0.07006368157453835,0.05198866907697465,0.08491797108703283,True,54,85
CP,deep_convective,0.02946060440444853,0.02178690729819382,0.035110379322855906,True,54,85
EP,low_cloud,-0.026770484648295678,-0.06310397972433543,0.012410578338021484,False,54,85
EP,mid_level,0.010298791299646837,-0.0008550150382359545,0.02115470297075252,False,54,85
EP,thin_high,0.025910780590493232,0.007376280312400288,0.04613127877443158,True,54,85
EP,thick_anvil,0.01640675577800721,0.004100725856277413,0.030156449550211684,True,54,85
EP,deep_convective,0.008342735032783821,0.003965697385634969,0.013216900572192087,True,54,85
