region,ctp_bin,tau_bin,delta_cf,ci_low,ci_high,significant_95
TP,1000-800,0.02-1.27,-0.007765386253595352,-0.010547314186661714,-0.005066167115988356,True
TP,1000-800,1.27-3.55,-0.008557833731174469,-0.01150321308259793,-0.004539258187845311,True
TP,1000-800,3.55-9.38,-0.0032783225178718567,-0.010016139362753777,0.004817449199200134,False
TP,1000-800,9.38-22.63,-0.0006122495979070663,-0.004038077036710297,0.002773424427718441,False
TP,1000-800,22.63-60.36,-0.0002607129281386733,-0.0006424313282608958,9.683463461772643e-05,False
TP,1000-800,60.36-378.65,-1.4485649444395676e-06,-2.6945305033585846e-06,-1.20623109505863e-07,True
TP,800-680,0.02-1.27,0.0011029643937945366,0.0002860926104665108,0.0019416552613938402,True
TP,800-680,1.27-3.55,0.0022010765969753265,0.00037262469790196577,0.00395782961829735,True
TP,800-680,3.55-9.38,-0.0003559272736310959,-0.0016841113058713444,0.0010769287384599334,False
TP,800-680,9.38-22.63,-0.0012531690299510956,-0.0018471961822746075,-0.0006041968059399547,True
TP,800-680,22.63-60.36,-0.0001365861389786005,-0.000262876701854162,-1.669082139681779e-05,True
TP,800-680,60.36-378.65,9.740188033902086e-07,-2.9981069529050225e-07,2.123942578959083e-06,False
TP,680-560,0.02-1.27,0.0017529185861349106,0.0007073498090146129,0.002669937090014763,True
TP,680-560,1.27-3.55,0.0017724670469760895,0.00023982728712114814,0.0028372889735038672,True
TP,680-560,3.55-9.38,0.0007204096764326096,-0.00016442374484172779,0.0014123558944050115,False
TP,680-560,9.38-22.63,-0.0005297083407640457,-0.000990968296180805,-8.794347165535833e-05,True
TP,680-560,22.63-60.36,-0.00014244270278140903,-0.00028207590201240326,-9.008043505842266e-06,True
TP,680-560,60.36-378.65,2.1084542822791263e-06,-1.9772100280504428e-06,5.969277558622549e-06,False
TP,560-440,0.02-1.27,0.0008292561396956444,6.845545475890117e-05,0.0012154250351370667,True
TP,560-440,1.27-3.55,0.0006178556941449642,-3.071559995331922e-05,0.0009183668820450986,False
TP,560-440,3.55-9.38,0.0011786865070462227,0.00015759062463805508,0.0018914074089387584,True
TP,560-440,9.38-22.63,0.0001611383631825447,-0.000410308860408839,0.0006620140619748624,False
TP,560-440,22.63-60.36,-7.057713810354471e-05,-0.0002658346050029508,0.00011206725878883587,False
TP,560-440,60.36-378.65,1.1033116606995463e-06,-6.329628446097332e-06,7.52347391502632e-06,False
TP,440-310,0.02-1.27,0.0048410315066576,0.001687390879526842,0.007336367400743232,True
TP,440-310,1.27-3.55,0.001616334542632103,-3.916943142510202e-05,0.0026267516147834152,False
TP,440-310,3.55-9.38,0.0006061084568500519,-0.0003740440351334557,0.0013747738701005321,False
TP,440-310,9.38-22.63,0.00024694204330444336,-0.0002546094860851278,0.0006321665881209406,False
TP,440-310,22.63-60.36,-8.17268155515194e-05,-0.00032828072692372165,0.00015409052632472652,False
TP,440-310,60.36-378.65,-1.2561140465550125e-05,-3.583119115374632e-05,1.103744001569355e-05,False
TP,310-180,0.02-1.27,0.005516387522220612,0.002715296378786352,0.009339512482857094,True
TP,310-180,1.27-3.55,0.0062366388738155365,0.003409977075036658,0.009180463970413404,True
TP,310-180,3.55-9.38,0.005357496440410614,0.0031180509593819873,0.00732938661885131,True
TP,310-180,9.38-22.63,0.003168487921357155,0.0017121259697007276,0.004335609875682629,True
TP,310-180,22.63-60.36,0.0013732928782701492,0.0006422109355963263,0.0017382670969741357,True
TP,310-180,60.36-378.65,3.065494820475578e-05,-0.00022774613250423886,0.00022359535836642387,False
TP,180-10,0.02-1.27,0.0020873676985502243,0.00044364351152579136,0.003581255028842818,True
TP,180-10,1.27-3.55,0.0005058571696281433,0.00013120929466020552,0.000859070797971567,True
TP,180-10,3.55-9.38,0.00041602086275815964,6.728843314364004e-05,0.0007197272247145275,True
TP,180-10,9.38-22.63,0.0009009377099573612,0.00037297951087278256,0.0013551524132590128,True
TP,180-10,22.63-60.36,0.0019246209412813187,0.0009971387978278963,0.0026748704001794193,True
TP,180-10,60.36-378.65,0.002296184189617634,0.0015428635524256777,0.002811610487143817,True
WP,1000-800,0.02-1.27,0.005185350775718689,0.002158182214976359,0.00739121263360716,True
WP,1000-800,1.27-3.55,0.010889584198594093,0.005593443500869394,0.015843847311884453,True
WP,1000-800,3.55-9.38,0.004462801851332188,0.001606473690343143,0.007054901534488,True
WP,1000-800,9.38-22.63,0.00018997606821358204,-0.0002757088864805012,0.0005427037402616121,False
WP,1000-800,22.63-60.36,2.623299224069342e-06,-3.0322807541023626e-05,2.9059130324233184e-05,False
WP,1000-800,60.36-378.65,-6.5621250655567565e-09,-1.3880898690304987e-07,9.97663468069925e-08,False
WP,800-680,0.02-1.27,0.001090708188712597,0.00034800578933701066,0.0018830023157646032,True
WP,800-680,1.27-3.55,0.0030479561537504196,0.0017261821365316603,0.004964057222308158,True
WP,800-680,3.55-9.38,0.00657770037651062,0.003542436102655987,0.009504025760472695,True
WP,800-680,9.38-22.63,0.002640475519001484,0.0009833655610892054,0.0040398303888982716,True
WP,800-680,22.63-60.36,0.000292682001600042,2.0115504949404833e-05,0.000513092938902839,True
WP,800-680,60.36-378.65,2.18236004911887e-06,-2.05433347956996e-08,4.391471136310523e-06,False
WP,680-560,0.02-1.27,-0.002674795687198639,-0.003449652005836465,-0.0016047029315798432,True
WP,680-560,1.27-3.55,-0.004219209775328636,-0.005866321625610875,-0.0027233869229869798,True
WP,680-560,3.55-9.38,-0.00020518526434898376,-0.0015953757055187548,0.0010409984316414413,False
WP,680-560,9.38-22.63,0.0012044664472341537,0.0003957187947978198,0.0017573010126299012,True
WP,680-560,22.63-60.36,0.0002907620510086417,8.722376606175994e-05,0.0004295291435873016,True
WP,680-560,60.36-378.65,7.868732609495055e-06,8.546813029080341e-07,1.4348870233921191e-05,True
WP,560-440,0.02-1.27,-0.0029738545417785645,-0.004123646060366989,-0.00208137224373768,True
WP,560-440,1.27-3.55,-0.002144401893019676,-0.0035015583690932365,-0.0012612540359309393,True
WP,560-440,3.55-9.38,-0.002995423972606659,-0.0052894580707242836,-0.0009294905220404817,True
WP,560-440,9.38-22.63,-9.883148595690727e-05,-0.0012254443502436403,0.0007942190097730552,False
WP,560-440,22.63-60.36,8.762790821492672e-05,-0.00012014376277003349,0.00023268640573593922,False
WP,560-440,60.36-378.65,5.320129275787622e-06,-2.1442042338124377e-06,1.130633498254949e-05,False
WP,440-310,0.02-1.27,-0.009525932371616364,-0.016695186151425914,-0.0024740598534878614,True
WP,440-310,1.27-3.55,-0.0037146415561437607,-0.007695137808084142,-0.0008543373933470216,True
WP,440-310,3.55-9.38,-0.003672771155834198,-0.005592039397226843,-0.001883525294493845,True
WP,440-310,9.38-22.63,-0.0017157653346657753,-0.0029533280888049546,-0.0006175500864021278,True
WP,440-310,22.63-60.36,-0.00018824043218046427,-0.0004777907852708128,5.9489813761517405e-05,False
WP,440-310,60.36-378.65,-1.2084055924788117e-06,-2.3434988384981525e-05,1.3184390898175575e-05,False
WP,310-180,0.02-1.27,-0.015084683895111084,-0.021231377191520275,-0.005015707748581,True
WP,310-180,1.27-3.55,-0.01638193428516388,-0.023190337135385368,-0.006278050598396956,True
WP,310-180,3.55-9.38,-0.018080003559589386,-0.025562937860533794,-0.008587784928411129,True
WP,310-180,9.38-22.63,-0.012610409408807755,-0.017108463469012646,-0.007440551221299045,True
WP,310-180,22.63-60.36,-0.005328923463821411,-0.007482448829706514,-0.003442426688474177,True
WP,310-180,60.36-378.65,-0.00037554558366537094,-0.0008896272348107805,-1.9223537281315926e-05,True
WP,180-10,0.02-1.27,-0.0026282286271452904,-0.004201029552798867,-0.00048791760379529077,True
WP,180-10,1.27-3.55,-0.0014785327948629856,-0.0025015301306540866,-0.000298938675442902,True
WP,180-10,3.55-9.38,-0.0011778369080275297,-0.0020820092911723992,-0.0002672385715958468,True
WP,180-10,9.38-22.63,-0.0023103137500584126,-0.003843627744411449,-0.0006104978010902777,True
WP,180-10,22.63-60.36,-0.00448086392134428,-0.006709903230475934,-0.0019327402187979156,True
WP,180-10,60.36-378.65,-0.0028609829023480415,-0.004676982255718695,-0.000901379573318935,True
CP,1000-800,0.02-1.27,-0.030509181320667267,-0.036070679163280654,-0.02260459428482292,True
CP,1000-800,1.27-3.55,-0.03417280316352844,-0.03752777982474029,-0.028531504769816002,True
CP,1000-800,3.55-9.38,-0.011327885091304779,-0.012965230405778017,-0.009015623207896051,True
CP,1000-800,9.38-22.63,-0.0007803309708833694,-0.0009335165810453012,-0.000571149283088726,True
CP,1000-800,22.63-60.36,-7.05339880369138e-06,-9.418934435519876e-06,-4.150078207170777e-06,True
CP,1000-800,60.36-378.65,5.179106032926484e-10,-4.053873393961564e-10,1.6412841567836873e-09,False
CP,800-680,0.02-1.27,-5.736947059631348e-06,-0.0008289613228595325,0.0010160712034063511,False
CP,800-680,1.27-3.55,0.000824321061372757,-0.0013664161851290233,0.0028144655758215492,False
CP,800-680,3.55-9.38,-0.0069111548364162445,-0.008158059099049536,-0.0050073828564502244,True
CP,800-680,9.38-22.63,-0.003144668648019433,-0.0036012071813162367,-0.002408956553092532,True
CP,800-680,22.63-60.36,-0.00016430867253802717,-0.00018757105358389672,-0.0001250757281590058,True
CP,800-680,60.36-378.65,4.777211870532483e-08,-2.1244822990677554e-07,4.5277234859174436e-07,False
CP,680-560,0.02-1.27,0.004353642463684082,0.002781784386718639,0.00548008001779157,True
CP,680-560,1.27-3.55,0.006961779668927193,0.004286046532100577,0.00868291734249362,True
CP,680-560,3.55-9.38,0.0014191241934895515,-0.0003339534092557879,0.0028435378535575104,False
CP,680-560,9.38-22.63,-0.001406112452968955,-0.001951762996373145,-0.0008465816626017054,True
CP,680-560,22.63-60.36,-0.00029539066599681973,-0.0003640739700664113,-0.00021545896577451277,True
CP,680-560,60.36-378.65,-3.171895059495e-06,-4.113016088231971e-06,-1.9675846624523745e-06,True
CP,560-440,0.02-1.27,0.0031632697209715843,0.001822970500811492,0.003832798507951396,True
CP,560-440,1.27-3.55,0.0032561798579990864,0.002076633064962892,0.0037927069283197625,True
CP,560-440,3.55-9.38,0.004649077542126179,0.0024559287828813474,0.0060006747488660014,True
CP,560-440,9.38-22.63,-1.581525430083275e-05,-0.0009922346313469977,0.0008166041210300458,False
CP,560-440,22.63-60.36,-0.0003313241759315133,-0.000534214077396244,-0.00011440805564397946,True
CP,560-440,60.36-378.65,-8.000493835425004e-06,-1.17441944440067e-05,-4.140707383865191e-06,True
CP,440-310,0.02-1.27,0.01889587938785553,0.013400889908373037,0.022324474023202895,True
CP,440-310,1.27-3.55,0.008081750012934208,0.005088144529323784,0.009952500627227117,True
CP,440-310,3.55-9.38,0.005505681969225407,0.0031511073154070817,0.007262179691626487,True
CP,440-310,9.38-22.63,0.0018895985558629036,0.0005643940554930298,0.0028727351627243947,True
CP,440-310,22.63-60.36,-0.000391339766792953,-0.0008121836239401469,-4.780985372912764e-05,True
CP,440-310,60.36-378.65,-6.49292633170262e-05,-9.385419396645646e-05,-3.7048314224586247e-05,True
CP,310-180,0.02-1.27,0.02209741249680519,0.016212052865828393,0.02838418236501249,True
CP,310-180,1.27-3.55,0.03387531638145447,0.026409928613565836,0.04068132220117451,True
CP,310-180,3.55-9.38,0.03364601731300354,0.02562945607980684,0.040419460983925674,True
CP,310-180,9.38-22.63,0.021757937967777252,0.016485014357900982,0.025864751071921703,True
CP,310-180,22.63-60.36,0.009218358434736729,0.006821846614089715,0.0108944849014523,True
CP,310-180,60.36-378.65,0.000786270247772336,0.00038795684896288,0.001055644707275038,True
CP,180-10,0.02-1.27,0.0010401159524917603,-0.0035541063872028466,0.004897428503747556,False
CP,180-10,1.27-3.55,0.0027490423526614904,0.0017881020833338847,0.003560510870527326,True
CP,180-10,3.55-9.38,0.002261975547298789,0.0015241550014195473,0.0029071222907845577,True
CP,180-10,9.38-22.63,0.005002470221370459,0.0036359808173946017,0.006246983069573371,True
CP,180-10,22.63-60.36,0.01021805964410305,0.007581810940544512,0.012376452719960124,True
CP,180-10,60.36-378.65,0.009694185107946396,0.007284687908445259,0.01137209244906348,True
EP,1000-800,0.02-1.27,-0.0025578252971172333,-0.008215615022295035,0.0018744600153319099,False
EP,1000-800,1.27-3.55,-0.008862070739269257,-0.018803089460371836,0.0021042735499181143,False
EP,1000-800,3.55-9.38,-0.010231830179691315,-0.0305802925493903,0.012565540458663826,False
EP,1000-800,9.38-22.63,-0.004199067130684853,-0.01293043706803682,0.004817976363861663,False
EP,1000-800,22.63-60.36,-0.0009920790325850248,-0.0020776352928739673,0.00011231937109316352,False
EP,1000-800,60.36-378.65,-4.998108124709688e-06,-9.403342674181641e-06,-4.1280122673651065e-07,True
EP,800-680,0.02-1.27,0.0023602889850735664,0.0006597648696850662,0.004030615869679463,True
EP,800-680,1.27-3.55,0.003571201115846634,-0.00046233040365317794,0.007285266380866829,False
EP,800-680,3.55-9.38,-0.0013023503124713898,-0.0038839751700154176,0.0018694193251040084,False
EP,800-680,9.38-22.63,-0.003955771215260029,-0.005759731440837259,-0.001995335587459531,True
EP,800-680,22.63-60.36,-0.0005966589087620378,-0.0009530087012392843,-0.00023962662329869312,True
EP,800-680,60.36-378.65,6.761747499695048e-07,-2.870806004486601e-06,3.7980081834750983e-06,False
EP,680-560,0.02-1.27,0.003148933406919241,0.00087564136240362,0.005563294768805318,True
EP,680-560,1.27-3.55,0.0028850706294178963,-0.00022640352747586113,0.005812819034317163,False
EP,680-560,3.55-9.38,0.000856129452586174,-0.0008491132825661381,0.002648761532575796,False
EP,680-560,9.38-22.63,-0.0016224579885601997,-0.0027221419792845657,-0.0003679828717919925,True
EP,680-560,22.63-60.36,-0.00048307504039257765,-0.0008652761601068996,-9.531066288296952e-05,True
EP,680-560,60.36-378.65,4.823859853786416e-06,-5.6316654075049504e-06,1.4991554566049572e-05,False
EP,560-440,0.02-1.27,0.0014677047729492188,0.000136725225393694,0.0027076399329449947,True
EP,560-440,1.27-3.55,0.0009936660062521696,-0.00011258112485146335,0.0019905103430521123,False
EP,560-440,3.55-9.38,0.0024412735365331173,0.0005322520353447032,0.004236933540642039,True
