month,region,phase_index,HCCF_anom,HCTB_anom,LCSP_anom,NetPath_low_anom,NetPath_high_total_anom,NetPath_high_contrast_anom,direct_Net_anom,anomaly_convention,detrended,standardized
2002-07-01,CP,1,0.002445510355795,0.031648199453128,0.028566222260881,0.574189820946914,-2.359301481231793,-0.708683869539047,-2.509671926498413,calendar_month_anomaly_only,False,False
2002-08-01,CP,1,0.136614046584209,0.029694138179153,0.048452973997131,1.330655270235159,-2.706623762682827,-3.974899625933572,-1.806222319602966,calendar_month_anomaly_only,False,False
2002-09-01,CP,1,0.125203423061687,-0.002270450222807,0.049919156897898,1.158273523694197,-0.958316436166342,-3.040223802273549,0.123506672680378,calendar_month_anomaly_only,False,False
2002-10-01,CP,1,0.104496828460249,0.017402606949561,0.046417368292945,1.407099837089982,-1.835141809597053,-2.482106803666127,-0.851504623889923,calendar_month_anomaly_only,False,False
2002-11-01,CP,1,0.108936547429137,-0.011349774966646,0.035211963162400,0.963085871625863,-0.100063347409714,-2.080885653627286,1.036687612533569,calendar_month_anomaly_only,False,False
2002-12-01,CP,1,0.122209478868658,0.017964982151644,0.050281790485163,1.443493277225508,-1.855442450005157,-3.806810283391341,-0.515367448329926,calendar_month_anomaly_only,False,False
2003-01-01,CP,1,0.167788363814071,-0.013238873987127,0.069161959134613,2.119097286683732,0.167860678149041,-3.723234031508525,2.369861125946045,calendar_month_anomaly_only,False,False
2003-02-01,CP,1,0.065712529674355,-0.027373923026211,0.032063602041093,0.752881790263475,2.130943902441078,-0.884844104716869,3.467560768127441,calendar_month_anomaly_only,False,False
2003-03-01,CP,0,0.033601180368251,-0.027746660741214,0.017695441042751,0.975492131955485,1.669355935492193,0.157394611079463,3.573554277420044,calendar_month_anomaly_only,False,False
2003-04-01,CP,0,0.039393869101925,0.014346622395447,0.022499279572065,0.726857003692200,-1.009603979831430,-1.219401721136247,-0.685604989528656,calendar_month_anomaly_only,False,False
2003-05-01,CP,-1,0.034869981602095,0.005839256339751,0.014796546792755,0.321191111280807,-0.941000242038580,-0.900797220693740,-1.184513688087463,calendar_month_anomaly_only,False,False
2003-06-01,CP,0,-0.000453258276830,0.004439716559381,0.024566633407992,0.820015500870521,0.207653122904808,0.148490336647745,1.078237891197205,calendar_month_anomaly_only,False,False
2003-07-01,CP,0,0.031423530792753,-0.007536882716916,0.004853181583283,0.241349445018340,0.060151531541791,-0.343237234359251,0.700356483459473,calendar_month_anomaly_only,False,False
2003-08-01,CP,0,0.002605351397231,-0.021958087455514,0.002702533620712,-0.321168942730223,1.100277960463510,-0.051454660024875,0.968094110488892,calendar_month_anomaly_only,False,False
2003-09-01,CP,0,0.003019481726076,-0.010862202904440,0.008708369060143,0.280254726267320,0.405838699510923,0.232315908701100,0.749773800373077,calendar_month_anomaly_only,False,False
2003-10-01,CP,0,0.010592883701836,-0.021477118240171,0.009656028608201,0.161478713060750,0.752027925963636,0.241122331290246,0.959985494613647,calendar_month_anomaly_only,False,False
2003-11-01,CP,0,-0.004305332143087,-0.004813298227043,0.012422619793434,0.139853900788352,-0.188632955720686,0.227004945592309,-0.114574827253819,calendar_month_anomaly_only,False,False
2003-12-01,CP,0,0.067446928528187,-0.014839006324976,0.025583054854655,0.913349367103403,0.792079300012574,-0.930837195229605,1.709073662757874,calendar_month_anomaly_only,False,False
